요일구분,호선,역번호,출발역,상하구분,5시30분,6시00분,6시30분,7시00분,7시30분,8시00분,8시30분,9시00분,9시30분,10시00분,10시30분,11시00분,11시30분,12시00분,12시30분,13시00분,13시30분,14시00분,14시30분,15시00분,15시30분,16시00분,16시30분,17시00분,17시30분,18시00분,18시30분,19시00분,19시30분,20시00분,20시30분,21시00분,21시30분,22시00분,22시30분,23시00분,23시30분,00시00분,00시30분
토요일,5,2546,아차산,상선,20.0,27.0,22.0,19.0,21.0,29.0,31.0,37.0,41.0,68.0,63.0,74.0,79.0,76.0,76.0,78.0,72.0,79.0,78.0,72.0,74.0,68.0,73.0,51.0,37.0,33.0,28.0,29.0,28.0,31.0,41.0,37.0,39.0,33.0,50.0,51.0,28.0,12.0,
토요일,5,2546,아차산,하선,19.0,47.0,24.0,16.0,15.0,23.0,24.0,25.0,33.0,44.0,37.0,44.0,53.0,44.0,55.0,58.0,58.0,61.0,64.0,64.0,71.0,67.0,77.0,58.0,51.0,39.0,35.0,42.0,43.0,50.0,54.0,50.0,41.0,37.0,46.0,50.0,53.0,0.0,
토요일,5,2547,광나루,상선,18.0,23.0,20.0,17.0,21.0,28.0,29.0,34.0,41.0,63.0,60.0,70.0,75.0,72.0,74.0,74.0,65.0,77.0,76.0,66.0,71.0,70.0,65.0,49.0,35.0,31.0,25.0,28.0,26.0,30.0,41.0,37.0,40.0,32.0,50.0,51.0,21.0,,
토요일,5,2547,광나루,하선,19.0,52.0,26.0,15.0,14.0,21.0,23.0,25.0,31.0,43.0,38.0,40.0,52.0,45.0,51.0,54.0,58.0,61.0,59.0,66.0,69.0,65.0,75.0,56.0,51.0,38.0,34.0,41.0,42.0,49.0,51.0,45.0,42.0,36.0,43.0,47.0,57.0,28.0,
토요일,5,2548,천호,상선,18.0,21.0,20.0,17.0,21.0,27.0,27.0,36.0,40.0,61.0,60.0,70.0,70.0,68.0,73.0,70.0,63.0,76.0,68.0,63.0,69.0,66.0,60.0,49.0,35.0,29.0,25.0,28.0,25.0,29.0,41.0,34.0,34.0,35.0,47.0,50.0,23.0,,
토요일,5,2548,천호,하선,16.0,43.0,20.0,14.0,11.0,17.0,21.0,21.0,24.0,32.0,31.0,34.0,43.0,41.0,49.0,44.0,51.0,57.0,53.0,58.0,64.0,55.0,69.0,56.0,46.0,35.0,36.0,39.0,36.0,51.0,54.0,40.0,40.0,40.0,40.0,45.0,48.0,28.0,
토요일,5,2549,강동(하남),상선,16.0,20.0,17.0,17.0,22.0,25.0,25.0,38.0,40.0,58.0,65.0,70.0,62.0,72.0,77.0,63.0,64.0,77.0,64.0,57.0,71.0,60.0,52.0,46.0,32.0,22.0,21.0,24.0,18.0,25.0,33.0,28.0,30.0,30.0,41.0,38.0,11.0,0.0,
토요일,5,2549,강동(하남),하선,7.0,25.0,18.0,16.0,13.0,20.0,24.0,24.0,23.0,33.0,33.0,38.0,44.0,43.0,52.0,49.0,55.0,60.0,54.0,61.0,67.0,60.0,70.0,59.0,40.0,36.0,37.0,39.0,35.0,46.0,56.0,38.0,39.0,39.0,39.0,42.0,44.0,20.0,
토요일,5,2550,길동,상선,26.0,29.0,28.0,28.0,31.0,39.0,41.0,50.0,60.0,92.0,84.0,100.0,97.0,100.0,91.0,94.0,86.0,94.0,84.0,79.0,82.0,74.0,75.0,54.0,39.0,31.0,26.0,29.0,25.0,31.0,29.0,28.0,23.0,25.0,29.0,22.0,13.0,5.0,
토요일,5,2550,길동,하선,10.0,21.0,24.0,15.0,13.0,22.0,25.0,25.0,29.0,37.0,35.0,40.0,49.0,45.0,55.0,53.0,63.0,66.0,64.0,67.0,71.0,65.0,76.0,60.0,54.0,43.0,45.0,52.0,51.0,60.0,72.0,55.0,52.0,48.0,53.0,51.0,84.0,30.0,
토요일,5,2551,굽은다리,상선,23.0,27.0,24.0,26.0,29.0,36.0,40.0,47.0,57.0,86.0,80.0,92.0,92.0,94.0,85.0,86.0,79.0,87.0,77.0,75.0,77.0,68.0,69.0,50.0,37.0,29.0,25.0,27.0,24.0,29.0,28.0,27.0,22.0,26.0,28.0,21.0,8.0,,
토요일,5,2551,굽은다리,하선,10.0,21.0,22.0,13.0,14.0,21.0,23.0,23.0,28.0,35.0,31.0,36.0,44.0,41.0,50.0,48.0,58.0,57.0,59.0,62.0,64.0,55.0,66.0,53.0,47.0,38.0,39.0,46.0,46.0,54.0,58.0,55.0,45.0,43.0,49.0,45.0,76.0,25.0,
토요일,5,2552,명일,상선,19.0,21.0,23.0,24.0,26.0,31.0,35.0,41.0,51.0,76.0,72.0,82.0,84.0,90.0,77.0,77.0,73.0,77.0,70.0,67.0,71.0,61.0,63.0,45.0,33.0,25.0,22.0,24.0,22.0,26.0,24.0,24.0,20.0,24.0,26.0,20.0,8.0,,
토요일,5,2552,명일,하선,10.0,21.0,21.0,13.0,12.0,18.0,21.0,22.0,25.0,33.0,30.0,36.0,36.0,36.0,46.0,43.0,53.0,53.0,54.0,55.0,58.0,50.0,59.0,47.0,41.0,36.0,35.0,43.0,41.0,48.0,53.0,49.0,42.0,38.0,43.0,55.0,47.0,20.0,
토요일,5,2553,고덕,상선,17.0,16.0,26.0,21.0,23.0,29.0,32.0,37.0,46.0,67.0,64.0,72.0,75.0,82.0,68.0,67.0,64.0,69.0,61.0,64.0,64.0,55.0,58.0,41.0,31.0,24.0,20.0,22.0,20.0,25.0,24.0,24.0,18.0,24.0,21.0,20.0,9.0,,
토요일,5,2553,고덕,하선,9.0,16.0,16.0,11.0,10.0,13.0,17.0,18.0,23.0,28.0,27.0,32.0,32.0,33.0,41.0,38.0,46.0,47.0,47.0,47.0,51.0,46.0,51.0,42.0,37.0,33.0,31.0,38.0,37.0,42.0,46.0,43.0,37.0,36.0,40.0,43.0,41.0,15.0,
